IRIS,Département,Commune ou ARM,Libellé commune ou ARM,TRIRIS,Grand quartier,Libellé de l'IRIS,Label de l'IRIS,Ménages en 2016 (compl),Ménages 1 personne en 2016 (compl),Ménages Hommes seuls en 2016 (compl),Ménages Femmes seules en 2016 (compl),Ménages Autres sans famille en 2016 (compl),Ménages avec famille(s) en 2016 (compl),Mén fam princ Couple sans enfant en 2016 (compl),Mén fam princ Couple avec enfant(s) en 2016 (compl),Mén fam princ Famille mono en 2016 (compl),Pop Ménages en 2016 (compl),Pop mén Personnes seules en 2016 (compl),Pop mén Hommes seuls en 2016 (compl),Pop mén Femmes seules en 2016 (compl),Pop mén Autres sans famille en 2016 (compl),Pop mén avec famille(s) en 2016 (compl),Pop mén fam princ Couple sans enfant en 2016 (compl),Pop mén fam princ Couple avec enfant(s) en 2016 (compl),Pop mén fam princ Famille mono en 2016 (compl),Pop 15 ans ou plus en 2016 (princ),Pop 15-24 ans en 2016 (princ),Pop 25-54 ans en 2016 (princ),Pop 55-79 ans en 2016 (princ),Pop 80 ans ou plus en 2016 (princ),Pop mén 15 ans ou plus en 2016 (princ),Pop mén 15-24 ans en 2016 (princ),Pop mén 25-54 ans en 2016 (princ),Pop mén 55-79 ans en 2016 (princ),Pop mén 80 ans ou plus en 2016 (princ),Pop 15 ans ou plus ans vivant seule en 2016 (princ),Pop 15-24 ans vivant seule en 2016 (princ),Pop 25-54 ans vivant seule en 2016 (princ),Pop 55-79 ans vivant seule en 2016 (princ),Pop 80 ans ou plus vivant seule en 2016 (princ),Pop 15 ans ou plus Mariée en 2016 (princ),Pop 15 ans ou plus Non mariée en 2016 (princ),Ménages Pers Réf Agri. expl. en 2016 (compl),Ménages Pers Réf Art. Comm. Chef entr. en 2016 (compl),Ménages Pers Réf Cadre Prof int sup en 2016 (compl),Ménages Pers Réf Prof intermédiaire en 2016 (compl),Ménages Pers Réf Employé en 2016 (compl),Ménages Pers Réf Ouvrier en 2016 (compl),Ménages Pers Réf Retraité en 2016 (compl),Ménages Pers Réf Autre en 2016 (compl),Pop mén Pers Réf Agri. expl. en 2016 (compl),Pop mén Pers Réf Art Com Chef entr. en 2016 (compl),Pop mén Pers Réf Cadre Prof int sup en 2016 (compl),Pop mén Pers Réf Prof intermédiaire en 2016 (compl),Pop mén Pers Réf Employé en 2016 (compl),Pop mén Pers Réf Ouvrier en 2016 (compl),Pop mén Pers Réf Retraité en 2016 (compl),Pop mén Pers Réf Autre en 2016 (compl),Familles en 2016 (compl),Fam Couple avec enfant(s) en 2016 (compl),Fam Monoparentales en 2016 (compl),Fam Couple sans enfant en 2016 (compl),Fam 0 enfant moins 25 ans en 2016 (compl),Fam 1 enfant moins 25 ans en 2016 (compl),Fam 2 enfants moins 25 ans en 2016 (compl),Fam 3 enfants moins 25 ans en 2016 (compl),Fam 4 enfants ou plus moins 25 ans en 2016 (compl)
IRIS,DEP,COM,LIBCOM,TRIRIS,GRD_QUART,LIBIRIS,LAB_IRIS,C16_MEN,C16_MENPSEUL,C16_MENHSEUL,C16_MENFSEUL,C16_MENSFAM,C16_MENFAM,C16_MENCOUPSENF,C16_MENCOUPAENF,C16_MENFAMMONO,C16_PMEN,C16_PMEN_MENPSEUL,C16_PMEN_MENHSEUL,C16_PMEN_MENFSEUL,C16_PMEN_MENSFAM,C16_PMEN_MENFAM,C16_PMEN_MENCOUPSENF,C16_PMEN_MENCOUPAENF,C16_PMEN_MENFAMMONO,P16_POP15P,P16_POP1524,P16_POP2554,P16_POP5579,P16_POP80P,P16_POPMEN15P,P16_POPMEN1524,P16_POPMEN2554,P16_POPMEN5579,P16_POPMEN80P,P16_POP15P_PSEUL,P16_POP1524_PSEUL,P16_POP2554_PSEUL,P16_POP5579_PSEUL,P16_POP80P_PSEUL,P16_POP15P_MARIEE,P16_POP15P_NONMARIEE,C16_MEN_CS1,C16_MEN_CS2,C16_MEN_CS3,C16_MEN_CS4,C16_MEN_CS5,C16_MEN_CS6,C16_MEN_CS7,C16_MEN_CS8,C16_PMEN_CS1,C16_PMEN_CS2,C16_PMEN_CS3,C16_PMEN_CS4,C16_PMEN_CS5,C16_PMEN_CS6,C16_PMEN_CS7,C16_PMEN_CS8,C16_FAM,C16_COUPAENF,C16_FAMMONO,C16_COUPSENF,C16_NE24F0,C16_NE24F1,C16_NE24F2,C16_NE24F3,C16_NE24F4P
975010000,975,97501,Miquelon-Langlade,ZZZZZZ,9750100,Miquelon-Langlade,5,266,71,31,40,4,191,91,80,20,596,71,31,40,9,516,182,285,49,499,55,253,162,29,499,55,253,162,29,71,3,20,34,14,234,265,4,10,8,32,69,64,73,6,10,21,16,91,177,151,117,13,192,80,20,92,99,54,31,7,1
975020101,975,97502,Saint-Pierre,ZZZZZZ,9750201,Saint-Pierre - IRIS 0101,4,1294,515,194,321,37,742,326,297,119,2661,515,194,321,87,2059,669,1114,276,2296,239,1087,769,201,2215,238,1075,741,161,515,13,181,227,94,883,1413,0,63,162,200,280,166,396,27,0,159,405,475,615,393,578,36,747,297,122,328,383,177,142,38,7
975020102,975,97502,Saint-Pierre,ZZZZZZ,9750201,Saint-Pierre - IRIS 0102,4,1060,225,118,107,17,818,330,406,82,2667,225,118,107,50,2392,683,1499,210,2117,245,1246,601,25,2114,245,1244,600,25,225,8,96,107,14,958,1159,2,73,136,194,260,192,191,12,4,206,383,523,682,544,310,15,832,408,89,335,374,227,181,42,8
977010101,977,97701,Saint-Barthélemy,ZZZZZZ,9770101,Sous le vent,4,1289,271,162,108,118,900,457,354,89,3143,271,162,108,334,2538,1038,1284,216,2720,363,1712,576,69,2720,363,1712,576,69,278,15,167,69,28,1051,1669,5,290,64,187,251,310,157,25,10,733,138,462,610,831,295,64,935,369,98,467,497,261,157,20,0
977010102,977,97701,Saint-Barthélemy,ZZZZZZ,9770101,Centre,4,1102,285,138,148,118,699,369,300,30,2602,285,138,148,330,1987,856,1067,64,2409,270,1481,583,76,2255,258,1396,538,63,281,11,156,89,26,822,1588,5,246,89,187,241,162,123,49,20,654,202,443,576,384,202,123,723,315,34,374,398,192,128,5,0
977010103,977,97701,Saint-Barthélemy,ZZZZZZ,9770101,Au vent,4,1535,364,216,148,207,964,418,433,113,3772,364,216,148,575,2833,984,1579,271,3177,354,2084,677,62,3174,354,2082,676,62,365,12,193,132,29,1117,2060,20,354,143,231,315,271,148,54,39,959,393,590,733,738,241,79,974,433,118,423,467,295,197,15,0
978010101,978,97801,Saint-Martin,978221,9780101,Terres Basses-Baie Nettle-Sandy Ground,1,1800,554,307,247,55,1190,339,411,440,4541,554,307,247,138,3849,750,1714,1384,3406,588,1827,946,45,3364,587,1797,935,45,554,28,252,250,25,1086,2320,10,152,79,146,491,343,217,362,20,372,163,337,1368,941,349,991,1253,414,493,347,430,373,264,121,65
978010102,978,97801,Saint-Martin,978221,9780101,Marigot Est et Nord,2,770,301,160,141,20,449,133,106,210,1696,301,160,141,45,1350,289,419,642,1516,278,749,438,51,1380,277,685,383,35,301,20,143,130,8,360,1157,0,70,60,85,204,154,88,109,0,158,106,173,514,329,136,279,469,106,230,133,189,129,91,53,8
978010103,978,97801,Saint-Martin,978221,9780101,Marigot Centre et Sud,2,802,372,187,184,38,393,106,96,191,1603,372,187,184,98,1134,235,367,532,1254,162,718,346,28,1254,162,718,346,28,372,23,189,149,10,318,936,5,85,36,109,239,154,101,74,15,192,63,155,538,357,147,137,411,96,209,106,152,141,85,20,12
