Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Médiane du niveau vie (€),Part des ménages fiscaux imposés (%),Taux de pauvreté-Ensemble (%),Taux de pauvreté-moins de 30 ans (%),Taux de pauvreté-30 à 39 ans  (%),Taux de pauvreté-40 à 49 ans (%),Taux de pauvreté-50 à 59 ans (%),Taux de pauvreté-60 à 74 ans (%),Taux de pauvreté-75 ans ou plus (%),Taux de pauvreté-propriétaires (%),Taux de pauvreté-locataires (%),Part des revenus d'activité (%),dont part des salaires et traitements (%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%),1er décile du niveau de vie (€),9e décile du niveau de vie (€),Rapport interdécile 9e décile/1er décile
CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16
01001,L'Abergement-Clémenciat,313,796,22679,,,,,,,,,,,,,,,,,,,,,,,,
01002,L'Abergement-de-Varey,101,248,24382,,,,,,,,,,,,,,,,,,,,,,,,
01004,Ambérieu-en-Bugey,6363,14228,19721,49,17,19,22,22,15,9,,5,28,73.0,66.0,3.3,3.7,27.0,8.8,6.9,2.8,2.1,2.0,-15.7,10457,33881,3.2
01005,Ambérieux-en-Dombes,633,1663,23378,,,,,,,,,,,,,,,,,,,,,,,,
01006,Ambléon,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,Ambronay,1087,2684,22146,57,,,,,,,,,,75.5,70.5,2.5,2.6,27.2,8.1,4.2,2.4,1.0,0.8,-15.0,13947,34915,2.5
01008,Ambutrix,297,736,24894,,,,,,,,,,,,,,,,,,,,,,,,
01009,Andert-et-Condon,141,331,23088,,,,,,,,,,,,,,,,,,,,,,,,
01010,Anglefort,441,1062,22881,,,,,,,,,,,,,,,,,,,,,,,,
