IRIS,Libellé de l'IRIS,Commune ou ARM,Libellé commune ou ARM,Part des ménages fiscaux imposés (%),Taux de bas revenus déclarés au seuil de 60 % (%),1er quartile (€),Médiane (€),3e quartile (€),Écart inter-quartile rapporté à la médiane,1er décile (€),2e décile (€),3e décile (€),4e décile (€),6e décile (€),7e décile (€),8e décile (€),9e décile (€),Rapport interdécile D9/D1,S80/S20,Indice de Gini,Part des revenus d’activité (%),dont part des salaires et traitements (%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des autres revenus (%),Note de précaution (voir onglet seuils)
IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP15,DEC_TP6015,DEC_Q115,DEC_MED15,DEC_Q315,DEC_EQ15,DEC_D115,DEC_D215,DEC_D315,DEC_D415,DEC_D615,DEC_D715,DEC_D815,DEC_D915,DEC_RD15,DEC_S80S2015,DEC_GI15,DEC_PACT15,DEC_PTSA15,DEC_PCHO15,DEC_PBEN15,DEC_PPEN15,DEC_PAUT15,DEC_NOTE15
010040101,Les Perouses-Triangle d'Activite,01004,Ambérieu-en-Bugey,47,30.6,10398,18156,25574,0.84,5064,8596,11960,15142,20850,23836,27236,33640,6.6,7.9,0.34,66.6,59.9,4.2,2.5,29.8,3.6,0
010040102,Longeray-Gare,01004,Ambérieu-en-Bugey,42,37.3,8490,15816,23010,0.92,3622,7096,9786,13024,18308,21468,24554,30176,8.3,9.7,0.36,69.7,63.2,4.4,2.0,27.0,3.4,0
010040201,Centre-St Germain-Vareilles,01004,Ambérieu-en-Bugey,52,26.1,12044,18620,25744,0.74,6076,10564,13294,15876,21266,24100,28010,34756,5.7,7.2,0.34,68.7,61.3,3.4,4.0,27.5,3.8,0
010040202,Tiret-Les Allymes,01004,Ambérieu-en-Bugey,67,13.7,16390,23460,32522,0.69,10510,14760,17954,20790,26626,29910,35008,42388,4.0,5.4,0.31,69.8,63.0,2.2,4.6,24.1,6.1,0
010330101,Coupy-Vanchy,01033,Bellegarde-sur-Valserine,44,27.1,11724,19931,32078,1.02,6616,9822,13292,16638,24376,29952,36808,48312,7.3,9.1,0.39,74.2,69.0,4.4,0.8,23.6,2.2,0
010330102,Centre Ville,01033,Bellegarde-sur-Valserine,44,27.7,11496,18409,27586,0.87,5902,9750,12836,15862,22040,25456,30728,39093,6.6,8.4,0.36,70.6,63.7,5.0,2.0,26.0,3.3,0
010330201,Arc Vouvray-Gare-Chatillon,01033,Bellegarde-sur-Valserine,53,19.7,14378,22842,34948,0.90,7662,12510,16186,19688,26708,30918,38648,52202,6.8,7.9,0.37,72.8,65.3,3.5,4.0,24.8,2.4,0
010330202,Plateau de Musinens,01033,Bellegarde-sur-Valserine,40,36.3,9214,16130,25168,0.99,4720,8134,10702,13248,19082,22836,27796,37314,7.9,9.7,0.39,69.1,63.6,4.7,0.8,28.9,2.0,0
010330301,Arlod,01033,Bellegarde-sur-Valserine,40,27.8,11184,19016,27924,0.88,6110,9100,12848,16002,22558,26058,30570,38720,6.3,8.4,0.36,78.8,72.2,5.7,0.9,19.2,2.0,0
010530101,Centre-Ville,01053,Bourg-en-Bresse,49,29.3,10648,18234,26598,0.87,4820,9120,12568,15222,20482,24346,29432,38752,8.0,10.2,0.39,68.3,59.7,4.5,4.1,22.8,8.9,0
010530102,Champ-de-Foire,01053,Bourg-en-Bresse,56,25.2,12170,20065,28378,0.81,5928,10154,14212,17304,22882,25832,30376,38320,6.5,8.7,0.36,51.9,45.6,2.7,3.5,42.8,5.4,0
010530103,Prefecture,01053,Bourg-en-Bresse,58,20.9,13554,21166,32204,0.88,7250,12056,15000,18044,24362,29442,35802,50638,7.0,10.1,0.42,64.9,54.2,2.9,7.8,28.2,6.9,0
010530201,Citadelle,01053,Bourg-en-Bresse,55,27.3,11536,18812,26952,0.82,5862,10142,13204,16064,21524,24658,29420,36754,6.3,8.6,0.36,63.3,57.7,2.8,2.7,33.7,3.1,0
010530202,Mail,01053,Bourg-en-Bresse,41,43.8,7534,14578,22754,1.04,3250,6292,8780,11393,17288,20376,24786,30408,9.4,12.0,0.40,68.3,61.3,4.9,2.1,28.6,3.1,0
